Path,Requires Auth,Requires Perm
AutoLogin/AutoLogin,False,
Home/About,False,
Home/Contact,False,
Home/Index,False,
Insecure/Index,False,
Insecure/ManageOrders,False,
Insecure/ModifyOrder,False,
Insecure/ModifyOrderAjax,False,
Insecure/OrderDetail,False,
Insecure/OrderList,False,
SecureFeature/Index,False,
SecureFeature/ManageOrders,False,
SecureFeature/ModifyOrder,False,
SecureFeature/ModifyOrderAjax,False,
SecureFeature/OrderDetail,False,
SecureFeature/OrderList,False,
SecureFramework/Index,True,
SecureFramework/ManageOrders,True,ManageOrders
SecureFramework/ModifyOrder,True,
SecureFramework/ModifyOrderAjax,True,
SecureFramework/OrderDetail,True,
SecureFramework/OrderList,True,
SecureFramework/SomeMethodThatShouldBePrivate,True,
SecurityAudit/Index,False,
